id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E07000179,South Oxfordshire,18.5,8.3,11.8,19.9,21.0,20.5,93.1,2.9,1.0,2.3,0.8,10.1,6.9,10.3,12.8,35.5,5.7,18.5,50.4,1.6,0.9,0.2,3.0,25.4,18.5,58.7,30.9,8.8,1.6,0.1,12.16,16.45,71.40,12.90,17.57,69.53,11.14,14.85,74.01,64.16,35.84,68.06,31.94,60.10,39.90
E07000180,Vale of White Horse,19.1,8.6,12.9,20.0,19.7,19.8,90.8,4.0,1.7,2.5,1.1,10.1,6.9,9.9,12.5,35.6,5.8,19.1,50.0,1.5,1.0,0.2,3.2,25.0,19.1,58.1,31.0,9.1,1.7,0.1,13.47,15.27,71.26,16.63,16.62,66.75,9.62,13.94,76.44,55.96,44.04,64.59,35.41,46.17,53.83
E07000181,West Oxfordshire,17.9,8.6,12.0,18.8,21.1,21.7,95.2,1.7,0.6,1.9,0.6,11.4,7.8,11.0,14.1,31.4,6.3,17.9,50.7,1.4,0.9,0.2,2.6,26.3,17.9,56.6,31.8,9.7,1.8,0.1,12.69,15.39,71.92,12.59,16.36,71.05,12.83,14.14,73.03,68.85,31.15,70.95,29.05,66.39,33.61
E07000187,Mendip,17.3,8.7,10.5,17.4,22.4,23.8,96.8,1.1,0.3,1.4,0.3,13.4,7.8,12.4,14.4,28.1,6.7,17.3,47.0,1.7,1.0,0.2,3.2,29.7,17.3,,,,,,14.70,17.95,67.35,15.41,18.07,66.53,13.82,17.34,68.84,71.67,28.33,68.68,31.32,74.60,25.40
E07000188,Sedgemoor,17.2,8.9,11.5,17.0,21.7,23.8,96.6,1.4,0.3,1.1,0.5,16.2,9.3,12.9,14.8,21.6,8.0,17.2,46.0,1.7,1.1,0.3,2.3,31.3,17.2,,,,,,20.72,18.76,60.52,22.28,18.41,59.31,19.09,18.93,61.98,74.67,25.33,79.14,20.86,69.58,30.42
E07000189,South Somerset,16.7,8.7,11.3,16.5,21.3,25.5,96.6,1.3,0.5,1.2,0.4,13.8,8.7,12.7,15.0,24.7,8.4,16.7,45.9,1.5,0.9,0.3,2.4,32.2,16.7,,,,,,16.61,16.97,66.42,15.95,18.12,65.93,16.99,15.87,67.15,70.99,29.01,74.45,25.55,66.75,33.25
E07000192,Cannock Chase,17.9,9.2,13.7,18.4,21.3,19.5,96.6,1.2,0.5,1.4,0.3,18.0,9.8,13.0,15.4,18.7,7.1,17.9,47.6,2.1,1.0,0.4,2.5,28.5,17.9,45.6,33.8,16.3,4.1,0.1,21.87,18.38,59.75,23.57,19.28,57.15,19.73,17.43,62.84,73.86,26.14,75.93,24.07,71.48,28.52
E07000193,East Staffordshire,19.0,9.5,13.5,19.0,20.4,18.6,86.3,9.3,1.1,2.2,1.1,16.3,8.7,11.8,13.8,23.2,7.3,19.0,46.6,1.9,1.2,0.4,3.1,27.9,19.0,49.4,33.9,13.4,3.1,0.2,21.03,18.63,60.33,23.42,18.23,58.35,18.40,19.09,62.52,74.61,25.39,81.57,18.43,67.44,32.56
E07000194,Lichfield,16.8,8.7,11.3,17.9,21.4,24.0,94.8,2.3,0.6,1.9,0.4,14.2,8.4,11.7,14.3,28.0,6.6,16.8,46.4,1.7,1.0,0.3,2.8,31.0,16.8,52.0,32.8,12.6,2.4,0.1,16.97,18.44,64.58,19.06,18.84,62.10,14.52,18.09,67.39,63.58,36.42,67.13,32.87,60.37,39.63
E07000195,Newcastle-under-Lyme,16.3,12.1,11.7,17.5,20.7,21.7,92.9,3.8,1.0,1.6,0.7,16.8,8.1,11.4,16.4,23.5,7.6,16.3,44.3,1.7,1.7,0.7,5.5,29.8,16.3,46.8,34.1,15.3,3.6,0.1,22.18,17.77,60.05,21.93,19.33,58.74,22.03,16.12,61.84,77.64,22.36,78.71,21.29,76.43,23.57
